,NOM,CAM[A],CAM[B],CAM[C],CAM[D],CAM[E],CAM[F],CAM[G],CAM[H],CAM[I],CAM[J],CAM[K],CAM[L],CAM[M],CAM[N],CAM[O],CAM[P],CAM[Q],CAM[R],CAM[S],CAM[T],CAM[U],CAM[V],CAM[W],CAM[X],CAM[Y],CAM[Z]
0,5803360,3693620,8722835.0,,,,,,,,,,,,,,,,,,,,,,,,
1,4210690,2699038,2773067.0,7829617.0,,,,,,,,,,,,,,,,,,,,,,,
2,8609491,3693620,8722835.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2773067,2699038,7829617.0,4210690.0,5632126.0,,,,,,,,,,,,,,,,,,,,,,
4,5876752,2777709,3830485.0,3677094.0,3417362.0,6581735.0,2193432.0,6021452.0,279883.0,,,,,,,,,,,,,,,,,,
5,9802356,1807937,,,,,,,,,,,,,,,,,,,,,,,,,
6,2699038,4210690,2773067.0,7829617.0,5632126.0,,,,,,,,,,,,,,,,,,,,,,
7,1807937,9802356,,,,,,,,,,,,,,,,,,,,,,,,,
8,5632126,8107592,8968906.0,2699038.0,7829617.0,5809197.0,5803360.0,8609491.0,4210690.0,,,,,,,,,,,,,,,,,,
9,5809197,5803360,8609491.0,2640677.0,1994968.0,1786051.0,2878501.0,7829617.0,2699038.0,2773067.0,4210690.0,5632126.0,8968906.0,8107592.0,9802356.0,1807937.0,,,,,,,,,,,
10,8107592,5632126,8968906.0,2699038.0,7829617.0,8458056.0,7829617.0,5803360.0,8609491.0,5809197.0,,,,,,,,,,,,,,,,,
11,3693620,8722835,5803360.0,8609491.0,,,,,,,,,,,,,,,,,,,,,,,
12,8722835,3693620,5803360.0,8609491.0,,,,,,,,,,,,,,,,,,,,,,,
13,3830485,5876752,2777709.0,3677094.0,3417362.0,,,,,,,,,,,,,,,,,,,,,,
14,2193432,6021452,279883.0,6581735.0,,,,,,,,,,,,,,,,,,,,,,,
15,1786051,1994968,2640677.0,2878501.0,,,,,,,,,,,,,,,,,,,,,,,
16,1994968,2640677,1786051.0,2878501.0,,,,,,,,,,,,,,,,,,,,,,,
17,2777709,5876752,3417362.0,3677094.0,3830485.0,,,,,,,,,,,,,,,,,,,,,,
18,3417362,5876752,3677094.0,2777709.0,3830485.0,279883.0,6021452.0,6581735.0,2193432.0,,,,,,,,,,,,,,,,,,
19,7829617,4210690,2773067.0,2699038.0,,,,,,,,,,,,,,,,,,,,,,,
20,8458056,8107592,8968906.0,3417362.0,2777709.0,5876752.0,3677094.0,3830485.0,,,,,,,,,,,,,,,,,,,
